media_ID,media_ok,media_type,media_titre,media_playlist,media_pseudo,media_affiche,media_date_sortie,media_realisateurs,media_acteurs,media_genre,media_nationalite,media_annonce,media_nbSaison,media_synopsis,media_nbVisite,media_date_ajout,media_date_last_mod,media_nbCom,media_lien_amazone,media_etat,media_supprimer,media_youtube,media_youtube2,media_youtube3
18,0,serie,Mentalist,http://gdata.youtube.com/feeds/api/playlists/A99757FE16937C1A?alt=rss,admin,http://images.allocine.fr/medias/nmedia/18/77/53/84/20216888.jpg,2008,Bruno Heller,"Simon Baker, Robin Tunney, Amanda Righetti, Owain Yeoman, Tim Kang",Drame & Policier,U.S.A.,http://www.allocine.fr/blogvision/19135702,5,Un mentaliste utilise ses extraordinaires dons d'observation pour résoudre des crimes en tant que consultant travaillant aux côtés de la police. Une façon pour lui contribuer à la justice et de démasquer le mystérieux tueur en série qui a assassiné son épouse et sa fille...,497,1347869769,,0,",B008H7MYGQ",1,0,http://www.youtube.com/watch?v=PT8k7esvehg,http://www.youtube.com/watch?v=DbwsaFYCoVQ,http://www.youtube.com/watch?v=nRDc2GN1CBI
19,0,film,Wrong,http://gdata.youtube.com/feeds/api/playlists/QYG4XOClB1rpMmU95jgiGXf4KmidXq0Y?alt=rss,admin,http://images.allocine.fr/medias/nmedia/18/86/00/80/20218638.jpg,2012,Quentin Dupieux,"Jack Plotnick, Eric Judor, William Fichtner, Alexis Dziena, Steve Little",Comédie & Drame,France,http://www.allocine.fr/blogvision/19286870,,"Dolph a perdu son chien, Paul.<br/>Le mystérieux Master Chang pourrait en être la cause. Le détective Ronnie, la solution.<br/>Emma, la vendeuse de pizzas, serait un remède, et son jardinier, une diversion?<br/>Ou le contraire. Car Paul est parti, et Dolph a perdu la tête.",131,1347869819,,0,",B008XI6CTE",1,0,http://www.youtube.com/watch?v=oUAAgZR-7Go,,
20,1,film,Avengers,http://gdata.youtube.com/feeds/api/playlists/1FB9B666F4695296?alt=rss,admin,http://images.allocine.fr/medias/nmedia/18/85/31/58/20042068.jpg,2012,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson","Action, Aventure & Science fiction",U.S.A.,http://www.allocine.fr/blogvision/19314006,,"Lorsque Nick Fury, le directeur du S.H.I.E.L.D., l'organisation qui préserve la paix au plan mondial, cherche à former une équipe de choc pour empêcher la destruction du monde, Iron Man, Hulk, Thor, Captain America, Hawkeye et Black Widow répondent présents.<br/>Les Avengers ont beau constituer la plus fantastique des équipes, il leur reste encore à apprendre à travailler ensemble, et non les uns contre les autres, d'autant que le redoutable Loki a réussi à accéder au Cube Cosmique et à son pouvoir illimité...",129,1347869885,,0,",B007TWYVBG",1,0,http://www.youtube.com/watch?v=3zEVW719mkI,http://www.youtube.com/watch?v=FOlJtLNgMZY,http://www.youtube.com/watch?v=dA0veYdqB6c
21,1,film,Avatar,http://gdata.youtube.com/feeds/api/playlists/D507CC1ED4247E92?alt=rss,admin,http://images.allocine.fr/medias/nmedia/18/78/95/70/19485155.jpg,2009,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Michelle Rodriguez",Science fiction & Aventure,U.S.A.,http://www.allocine.fr/blogvision/19135625,,"Malgré sa paralysie, Jake Sully, un ancien <i>marine</i> immobilisé dans un fauteuil roulant, est resté un combattant au plus profond de son être. Il est recruté pour se rendre à des années-lumière de la Terre, sur Pandora, où de puissants groupes industriels exploitent un minerai rarissime destiné à résoudre la crise énergétique sur Terre. Parce que l'atmosphère de Pandora est toxique pour les humains, ceux-ci ont créé le Programme Avatar, qui permet à des "" pilotes "" humains de lier leur esprit à un avatar, un corps biologique commandé à distance, capable de survivre dans cette atmosphère létale. Ces avatars sont des hybrides créés génétiquement en croisant l'ADN humain avec celui des Na'vi, les autochtones de Pandora.<br />Sous sa forme d'avatar, Jake peut de nouveau marcher. On lui confie une mission d'infiltration auprès des Na'vi, devenus un obstacle trop conséquent à l'exploitation du précieux minerai. Mais tout va changer lorsque Neytiri, une très belle Na'vi, sauve la vie de Jake...",210,1347869943,,0,",B002ZJ59IW",1,0,http://www.youtube.com/watch?v=62jWz1dacSM,http://www.youtube.com/watch?v=5DMVbQNirA0,http://www.youtube.com/watch?v=nV_EUQD_GAo
22,1,film,Hunger Games,http://gdata.youtube.com/feeds/api/playlists/61EA7836AA4687F1?alt=rss,admin,http://images.allocine.fr/medias/nmedia/18/85/51/91/20018884.jpg,2012,Gary Ross,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks","Action, Drame & Science fiction",U.S.A.,http://www.allocine.fr/blogvision/19262809,,"Chaque année, dans les ruines de ce qui était autrefois l'Amérique du Nord, le Capitole, l'impitoyable capitale de la nation de Panem, oblige chacun de ses douze districts à envoyer un garçon et une fille - les ""Tributs"" - concourir aux Hunger Games. A la fois sanction contre la population pour s'être rebellée et stratégie d'intimidation de la part du gouvernement, les Hunger Games sont un événement télévisé national au cours duquel les tributs doivent s'affronter jusqu'à la mort. L'unique survivant est déclaré vainqueur.<br/>La jeune Katniss, 16 ans, se porte volontaire pour prendre la place de sa jeune s?ur dans la compétition. Elle se retrouve face à des adversaires surentraînés qui se sont préparés toute leur vie. Elle a pour seuls atouts son instinct et un mentor, Haymitch Abernathy, qui gagna les Hunger Games il y a des années mais n'est plus désormais qu'une épave alcoolique. Pour espérer pouvoir revenir un jour chez elle, Katniss va devoir, une fois dans l'arène, faire des choix impossibles entre la survie et son humanité, entre la vie et l'amour...",95,1347869991,,0,",B007GHW76U",1,0,http://www.youtube.com/watch?v=wqUq0lsQ684,http://www.youtube.com/watch?v=eivZxYh6b8I,http://www.youtube.com/watch?v=Xbk8_U5CO1c
23,1,film,Chronicle,http://gdata.youtube.com/feeds/api/playlists/924D0F3204C0FBD7?alt=rss,admin,http://images.allocine.fr/medias/nmedia/18/86/40/76/19996345.jpg,2012,Josh Trank,"Dane DeHaan, Alex Russell, Michael B. Jordan, Michael Kelly, Ashley Hinshaw","Drame, Epouvante-horreur & Science fiction",U.S.A. & Grande-Bretagne,http://www.allocine.fr/blogvision/19291298,,"Après avoir été en contact avec une mystérieuse substance, trois lycéens se découvrent des super-pouvoirs. La chronique de leur vie qu'ils tenaient sur les réseaux sociaux n'a désormais plus rien d'ordinaire?<br/>D'abord tentés d'utiliser leurs nouveaux pouvoirs pour jouer des tours à leurs proches, ils vont vite prendre la mesure de ce qui leur est possible. Leurs fabuleuses aptitudes les entraînent chaque jour un peu plus au-delà de tout ce qu'ils auraient pu imaginer. Leur sentiment de puissance et d'immortalité va rapidement les pousser à s'interroger sur les limites qu'ils doivent s'imposer? ou pas !",87,1347870057,,0,",B007RJ8G62",1,0,http://www.youtube.com/watch?v=7cTl_qkzevQ,http://www.youtube.com/watch?v=slp7fHUmJZc,
24,1,film,Sexy Dance 4,http://gdata.youtube.com/feeds/api/playlists/29D68BB892C003C5?alt=rss,admin,http://images.allocine.fr/medias/nmedia/18/89/86/15/20135794.jpg,2012,Scott Speer,"Kathryn McCormick, Ryan Guzman, Stephen Boss, Cleopatra Coleman, Misha Gabriel","Musical, Romance & Drame",U.S.A.,http://www.allocine.fr/blogvision/19338351,,"Miami Beach ? Amis d'enfance, Sean et Eddy travaillent comme serveurs dans l'hôtel de luxe Dimont, propriété du magnat de l'immobilier Bill Anderson. Ces deux jeunes ont monté ensemble une troupe alternative, ""The Mob"", à l'avant-garde de la danse de rue et c?ur du mouvement protestataire urbain. Le brio, l'audace et l'imagination de la troupe attirent l'attention de la fille d'Anderson, Emily, danseuse classique douée que son père pousse à exercer un ""vrai métier"" au mépris de sa passion. L'arrivée de cette ""gosse de riche"", très mal vue par Eddy, et son idylle naissante avec Sean sonneront-elles le glas de ""The Mob"" ?",238,1347870235,,0,",B008I5V666",1,0,http://www.youtube.com/watch?v=PXSna9yEzUQ,http://www.youtube.com/watch?v=ifAHXgWNiIE,http://www.youtube.com/watch?v=3wITAcFYTwY
25,0,film,Rio,http://gdata.youtube.com/feeds/api/playlists/30D8D9D03150CB4D?alt=rss,admin,http://images.allocine.fr/medias/nmedia/18/78/25/22/19699752.jpg,2011,Carlos Saldanha,"Anne Hathaway, Jesse Eisenberg, Will.I.Am, Jamie Foxx, George Lopez","Animation, Aventure & Famille",U.S.A.,http://www.allocine.fr/blogvision/19203547,,"Blu, un perroquet bleu d'une espèce très rare, quitte sa petite ville sous la neige et le confort de sa cage pour s'aventurer au c?ur des merveilles exotiques de Rio de Janeiro. Sachant qu'il n'a jamais appris à voler, l'aventure grandiose qui l'attend au Brésil va lui faire perdre quelques plumes ! Heureusement, ses nouveaux amis hauts en couleurs sont prêts à tout pour réveiller le héros qui est en lui, et lui faire découvrir tout le sens de l'expression « prendre son envol ».",84,1347870694,,0,",B004RS2QVW",1,0,http://www.youtube.com/watch?v=51o_vzq-nwc,http://www.youtube.com/watch?v=i8bM00uwWIA,
26,1,film,28 jours plus tard,http://gdata.youtube.com/feeds/api/playlists/118AD9ADA54875D6?alt=rss,admin,http://images.allocine.fr/medias/nmedia/18/35/07/76/affiche.jpg,2003,Danny Boyle,"Cillian Murphy, Naomie Harris, Christopher Eccleston, Megan Burns, Brendan Gleeson",Science fiction & Epouvante-horreur,Grande-Bretagne,http://www.allocine.fr/blogvision/18352683,,"Un commando de la Protection Animale fait irruption dans un laboratoire top secret pour délivrer des dizaines de chimpanzés soumis à de terribles expériences. Mais aussitôt libérés, les primates, contaminés par un mystérieux virus et animés d'une rage incontrôlable, bondissent sur leurs ""sauveurs"" et les massacrent.<br /> 28 jours plus tard, le mal s'est répandu à une vitesse fulgurante à travers le pays, la population a été évacuée en masse et Londres n'est plus qu'une ville fantôme. Les rares rescapés se terrent pour échapper aux ""Contaminés"" assoiffés de violence. C'est dans ce contexte que Jim, un coursier, sort d'un profond coma...",122,1347870766,,0,",B00239VF9Q",1,0,http://www.youtube.com/watch?v=iTfb_uqA9XM,http://www.youtube.com/watch?v=7DoyxLJqR4k,http://www.youtube.com/watch?v=i6OtF7daIPM
27,1,film,Les Larmes du soleil,http://gdata.youtube.com/feeds/api/playlists/9p6Au9SUF68Xby0k8kg_H7TptDhlC8mJ?alt=rss,admin,http://images.allocine.fr/medias/nmedia/18/35/05/83/affiche.jpg,2003,Antoine Fuqua,"Bruce Willis, Monica Bellucci, Cole Hauser, Johnny Messner, Tom Skerritt","Guerre, Drame & Action",U.S.A.,http://www.allocine.fr/blogvision/18353818,,"Au Nigéria, la famille du Président vient d'être assassinée et une guerre civile est sur le point d'éclater. Un commando secret mené par le lieutenant Waters est envoyé aux confins de la jungle afin de faire évacuer Lena Kendriks, une femme médecin travaillant pour une organisation humanitaire, d'un village menacé par les rebelles. Mais le cours de la mission change lorsque celle-ci refuse de partir sans les villageois...",123,1347870868,,0,",B0025INSOA",1,0,http://www.youtube.com/watch?v=3i1EPfl1TZM,http://www.youtube.com/watch?v=OsyjglmndZc,http://www.youtube.com/watch?v=oA7cE265giE
